Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Work_time
2.35,21.66,251.52,0.05,30.65,52.3,313.22,328.96,47.92
0.61,32.94,225.96,0.13,48.53,50.26,269.64,288.95,47.61
1.07,35.12,209.14,0.07,92.72,71.44,304.65,310.65,45.1
0.97,37.83,254.33,0.11,61.44,61.3,329.33,341.22,42.04
2.93,33.19,200.16,0.08,46.14,96.93,311.11,288.69,47.82
1.75,32.38,212.77,0.08,62.91,31.34,280.29,317.6,47.61
2.67,25.76,174.81,0.06,82.44,73.26,291.74,332.21,49.44
0.63,22.06,175.79,0.02,54.78,69.9,306.33,302.81,48.95
2.89,29.38,259.86,0.13,93.33,40.46,331.28,256.53,46.87
0.73,30.17,213.87,0.03,84.53,38.67,329.47,330.99,44.27
3.9,20.33,242.7,0.04,83.54,30.82,285.55,338.12,46.97
0.74,30,214.58,0.02,78.94,70.41,274.56,342.47,35.3
3.74,25.35,213.68,0.11,90.5,67.49,306.24,320.73,48.64
0.83,24.37,253.32,0.09,61.65,81.77,297.29,340.47,46.55
0.99,33.61,170.52,0.02,33.95,34.06,292.25,297.06,48.21
0.2,37.09,148.07,0.11,63.5,77.56,293.98,314.09,49.39
2.69,38.13,171.6,0.03,46.05,31.45,321.4,332.49,47.4
1.35,38.09,186.02,0.1,52.73,71.18,327.94,299.92,43.57
0.82,33.6,254.33,0.07,63.84,78.12,272.55,324.14,46.08
1.56,32.93,195.63,0.04,43.05,49.43,305.96,325.83,46.08
0.66,23.3,198.57,0.03,80.55,54.89,337.79,255.89,43.88
2.25,34.63,210.14,0.02,44.64,97.34,279.44,278.97,49.79
1.04,33.55,152.04,0.02,68.9,31.15,336.81,253.98,48.27
0.35,30.25,198.28,0.09,85.13,98.42,332.04,307.73,42.68
1.42,24.37,255.39,0.07,91.52,46.22,338.59,297.45,45.18
1.24,36.89,241.87,0.04,84.13,73.25,254.34,340.83,44.2
3.31,25.96,162.78,0.07,38.45,65.79,273.34,341.41,51.27
0.48,28.12,243.46,0.09,54.05,98.1,339.63,324.15,41.46
2.93,20.28,141.37,0.08,51.32,83.94,266.38,332.61,54.46
0.41,25.01,150.75,0.1,86.73,77.04,275.23,292.04,50.87
1.74,35.04,206.88,0.13,56.53,90.24,318.58,261.84,45.4
1.15,25.12,155.78,0.09,63.35,33.88,280.29,297.06,51.15
1.21,28.67,185.59,0.13,65.65,42.68,324.12,260.92,47.04
0.32,33.2,223.64,0.04,89.31,84.51,323.12,314.47,46.21
1.11,23.57,184.86,0.02,30.68,71.13,277.7,333.43,50.77
2.35,28.29,255.13,0.03,63.27,75.19,256.33,323.68,47.41
1.78,31.13,201.2,0.03,40.07,67.53,314.48,311.6,46.37
0.83,22.59,248.48,0.09,36.46,68.07,294.27,335.1,47.78
2.55,32.67,187.81,0.14,95.57,34.39,291.31,293.41,49.26
1.11,34.55,241.88,0.11,51.49,32.33,339.46,263.93,43.94
1.66,30.73,251.51,0.11,72.64,36.97,338.23,262.01,44.97
0.61,27.52,141.44,0.08,98.71,38.08,308.81,275.17,49.4
3.9,27.49,258.84,0.02,51.7,58.63,267.82,327.99,49.46
1.93,45.45,186.01,0.08,86.85,85.42,300.75,296.35,45.5
1.18,47.86,251.07,0.13,53.62,34.97,260.99,311.49,44.22
1.96,49.47,235.9,0.12,66.43,62.3,323.4,314.25,41.77
0.32,54.41,216.79,0.09,67.62,40.03,338.17,321.43,41.21
